Detector, Descriptor, Lidar TTC, Camera TTC, Error
HARRIS, ORB, 9.59863, 11.7769, 0.226938
HARRIS, ORB, 8.57352, 10.1626, 0.185351
HARRIS, ORB, 9.51617, 11.7562, 0.235391
HARRIS, ORB, 9.54658, 10.4287, 0.0923968
HARRIS, ORB, 8.3988, 13.3464, 0.589083
HARRIS,FREAK
HARRIS, FREAK, 12.5156, 13.3176, 0.0640775
HARRIS, FREAK, 12.6142, 12.0004, 0.0486617
HARRIS, FREAK, 14.091, 16.7912, 0.191628
HARRIS, FREAK, 16.6894, 14.1323, 0.153219
HARRIS, FREAK, 15.9082, 11.1863, 0.296822
HARRIS, FREAK, 12.6787, 12.8537, 0.0138036
HARRIS, FREAK, 11.9844, 13.4354, 0.121076
HARRIS, FREAK, 13.1241, 14.1072, 0.0749043
HARRIS, FREAK, 13.0241, 12.5705, 0.0348266
HARRIS, FREAK, 11.1746, 12.409, 0.110459
HARRIS, FREAK, 12.8086, 13.1654, 0.0278553
HARRIS, FREAK, 8.95978, 12.7745, 0.425764
HARRIS, FREAK, 9.96439, 11.6034, 0.16449
HARRIS, FREAK, 9.59863, 12.3028, 0.281723
HARRIS, FREAK, 8.57352, 9.94461, 0.159921
HARRIS, FREAK, 9.51617, 11.0839, 0.164748
HARRIS, FREAK, 9.54658, 10.4498, 0.0946078
HARRIS, FREAK, 8.3988, 11.9823, 0.426668
FAST,BRISK
FAST, BRISK, 12.5156, 12.8942, 0.0302474
FAST, BRISK, 12.6142, 12.3236, 0.0230427
FAST, BRISK, 14.091, 12.4012, 0.119919
FAST, BRISK, 16.6894, 12.6931, 0.239452
FAST, BRISK, 15.9082, 13.8408, 0.12996
FAST, BRISK, 12.6787, 12.2608, 0.0329609
FAST, BRISK, 11.9844, 12.9554, 0.0810294
FAST, BRISK, 13.1241, 12.5624, 0.0428041
FAST, BRISK, 13.0241, 12.4101, 0.0471452
FAST, BRISK, 11.1746, 13.8116, 0.235973
FAST, BRISK, 12.8086, 12.1996, 0.047547
FAST, BRISK, 8.95978, 12.7502, 0.423048
FAST, BRISK, 9.96439, 11.616, 0.165751
FAST, BRISK, 9.59863, 11.6597, 0.21473
FAST, BRISK, 8.57352, 11.1789, 0.303884
FAST, BRISK, 9.51617, 11.2436, 0.181521
FAST, BRISK, 9.54658, 10.5169, 0.101642
FAST, BRISK, 8.3988, 11.8529, 0.411258
FAST,BRIEF
FAST, BRIEF, 12.5156, 11.7503, 0.0611511
FAST, BRIEF, 12.6142, 11.7583, 0.067853
FAST, BRIEF, 14.091, 13.955, 0.00964942
FAST, BRIEF, 16.6894, 13.2358, 0.206934
FAST, BRIEF, 15.9082, 14.8298, 0.0677939
FAST, BRIEF, 12.6787, 13.5942, 0.0722029
FAST, BRIEF, 11.9844, 13.2774, 0.107898
FAST, BRIEF, 13.1241, 12.7751, 0.0265933
FAST, BRIEF, 13.0241, 12.8008, 0.0171482
FAST, BRIEF, 11.1746, 13.0092, 0.164176
FAST, BRIEF, 12.8086, 11.8734, 0.0730152
FAST, BRIEF, 8.95978, 11.5256, 0.286366
FAST, BRIEF, 9.96439, 11.7066, 0.174839
FAST, BRIEF, 9.59863, 10.6452, 0.109029
FAST, BRIEF, 8.57352, 11.5312, 0.344974
FAST, BRIEF, 9.51617, 10.323, 0.0847888
FAST, BRIEF, 9.54658, 9.97203, 0.0445659
